Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,24.0,2000,37,30,2449,27.2,4,5,9,4,0,0,3,0,0.33,47,17,36.2,1.73,0.62,0.09,0.24,0,0,37,27,17,51,3,0,0,20,0,,,,,,,,,,,,,,
2,Jerome Abbey,eng ENG,MF,Wolves,eng Premier League,15.0,2009,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
3,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,4,2,1,0,0,0,3,0,,,,,,,,,,,,,,
4,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19.0,2006,22,4,681,7.6,2,0,2,2,0,0,0,0,0.26,17,4,23.5,2.25,0.53,0.12,0.50,0,0,30,3,3,3,0,0,0,7,0,,,,,,,,,,,,,,
5,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,25.0,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0.00,4,1,25.0,2.61,0.65,0.00,0.00,0,0,1,1,2,0,1,0,0,3,0,,,,,,,,,,,,,,
6,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,11,5,45.5,1.05,0.48,0.00,0.00,2,2,9,17,13,12,1,0,0,16,0,,,,,,,,,,,,,,
7,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,31.0,1993,22,13,1187,13.2,3,0,3,3,0,0,4,1,0.23,16,4,25.0,1.21,0.30,0.19,0.75,0,0,33,11,10,18,4,1,1,22,0,,,,,,,,,,,,,,
8,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,18,12,911,10.1,0,0,0,0,0,0,3,0,0.00,1,0,0.0,0.10,0.00,0.00,,0,0,2,7,11,10,3,0,0,19,0,,,,,,,,,,,,,,
9,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,25,14,1352,15.0,2,4,6,2,0,0,4,1,0.40,8,3,37.5,0.53,0.20,0.25,0.67,0,0,47,22,9,14,4,1,0,26,0,,,,,,,,,,,,,,
10,Tay Abed,il ISR,MF,Levante,es La Liga,21.0,2004,7,0,93,1.0,0,0,0,0,0,0,0,0,0.00,2,1,50.0,1.94,0.97,0.00,0.00,0,0,5,1,2,2,0,0,0,2,0,,,,,,,,,,,,,,
11,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993,28,27,2318,25.8,1,0,1,1,0,0,7,0,0.04,22,5,22.7,0.85,0.19,0.05,0.20,0,0,9,23,28,27,7,0,0,24,0,,,,,,,,,,,,,,
12,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003,33,28,2584,28.7,6,4,10,6,0,1,6,0,0.35,84,22,26.2,2.93,0.77,0.07,0.27,0,1,62,13,9,42,6,0,0,32,0,,,,,,,,,,,,,,
13,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000,26,25,2150,23.9,3,2,5,3,0,0,4,1,0.21,17,7,41.2,0.71,0.29,0.18,0.43,0,0,61,24,8,6,4,1,0,23,0,,,,,,,,,,,,,,
14,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,25.0,2000,15,6,511,5.7,0,0,0,0,0,0,4,0,0.00,7,2,28.6,1.23,0.35,0.00,0.00,0,0,18,12,1,11,4,0,0,12,0,,,,,,,,,,,,,,
15,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999,23,17,1437,16.0,0,2,2,0,0,0,10,1,0.13,7,1,14.3,0.44,0.06,0.00,0.00,0,0,2,17,20,36,10,1,0,30,0,,,,,,,,,,,,,,
16,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,27.0,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,9,3,33.3,2.83,0.94,0.22,0.67,0,0,1,1,0,0,0,0,0,2,0,,,,,,,,,,,,,,
17,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24.0,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.00,6,0,0.0,1.03,0.00,0.00,,0,0,0,12,8,4,2,0,0,5,0,,,,,,,,,,,,,,
18,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,22.0,2003,23,6,698,7.8,2,0,2,2,0,0,1,0,0.26,23,9,39.1,2.97,1.16,0.09,0.22,0,0,38,8,5,11,1,0,0,8,0,,,,,,,,,,,,,,
19,Mathieu Acapandié,mg MAD,"DF,MF",Nantes,fr Ligue 1,20.0,2004,7,3,351,3.9,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,11,2,3,0,0,0,0,3,0,,,,,,,,,,,,,,
20,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37.0,1988,18,15,1378,15.3,0,1,1,0,0,0,3,0,0.07,3,1,33.3,0.20,0.07,0.00,0.00,0,0,3,9,18,13,3,0,0,17,0,,,,,,,,,,,,,,
21,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998,29,18,1718,19.1,7,4,11,7,0,0,3,0,0.58,52,22,42.3,2.72,1.15,0.13,0.32,0,0,1,8,4,29,3,0,0,18,0,,,,,,,,,,,,,,
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19.0,2006,17,8,666,7.4,1,0,1,1,0,0,1,0,0.14,4,2,50.0,0.54,0.27,0.25,0.50,0,0,1,8,12,9,1,0,0,2,0,,,,,,,,,,,,,,
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25.0,2000,32,21,2064,22.9,10,3,13,7,3,3,3,0,0.44,61,30,49.2,2.66,1.31,0.11,0.23,3,3,17,4,1,12,3,0,0,36,0,,,,,,,,,,,,,,
24,Che Adams,sct SCO,FW,Torino,it Serie A,29.0,1996,33,19,1893,21.0,6,2,8,6,0,0,0,0,0.38,53,18,34.0,2.52,0.86,0.11,0.33,0,0,14,9,1,15,0,0,0,18,0,,,,,,,,,,,,,,
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26.0,1999,25,21,1773,19.7,2,2,4,2,0,0,8,0,0.20,10,6,60.0,0.51,0.30,0.20,0.33,0,0,3,24,30,13,8,0,0,36,0,,,,,,,,,,,,,,
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24.0,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,0.40,8,3,37.5,1.61,0.61,0.13,0.33,0,0,2,6,5,9,1,0,0,10,0,,,,,,,,,,,,,,
27,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27.0,1997,16,8,795,8.8,0,0,0,0,0,0,2,0,0.00,2,0,0.0,0.23,0.00,0.00,,0,0,0,6,9,0,2,0,0,6,0,,,,,,,,,,,,,,
28,Jayden Addai,nl NED,MF,Como,it Serie A,19.0,2005,12,7,686,7.6,3,0,3,3,0,0,4,0,0.39,13,6,46.2,1.71,0.79,0.23,0.50,0,0,10,2,2,14,4,0,0,13,0,,,,,,,,,,,,,,
29,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23.0,2002,28,15,1195,13.3,7,4,11,7,0,0,5,0,0.83,31,14,45.2,2.33,1.05,0.23,0.50,0,0,11,4,8,25,5,0,0,21,0,,,,,,,,,,,,,,
30,Simon Adingra,ci CIV,"MF,FW",Sunderland,eng Premier League,23.0,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,6,2,33.3,0.83,0.28,0.17,0.50,0,0,27,8,2,3,2,0,0,18,0,,,,,,,,,,,,,,
31,Simon Adingra,ci CIV,"MF,FW",Monaco,fr Ligue 1,23.0,2002,14,10,855,9.5,3,2,5,3,0,0,0,0,0.53,22,6,27.3,2.32,0.63,0.14,0.50,0,0,29,9,6,8,0,0,0,7,0,,,,,,,,,,,,,,
32,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,22.0,2002,15,9,835,9.3,0,0,0,0,0,0,0,0,0.00,4,2,50.0,0.43,0.22,0.00,0.00,0,0,1,7,9,6,0,0,0,8,1,,,,,,,,,,,,,,
33,Jonas Adjetey,gh GHA,DF,Wolfsburg,de Bundesliga,21.0,2003,4,1,137,1.5,0,0,0,0,0,0,1,0,0.00,3,0,0.0,1.97,0.00,0.00,,0,0,4,1,1,0,1,0,0,4,0,,,,,,,,,,,,,,
